

1544015711.178833325  Node Startup
1544016123.616090815 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016124.116062142 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016124.616091485 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016125.116061172 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016125.616070503 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016126.116089886 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016126.616119380 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016127.116073899 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016127.616074099 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016128.116056456 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016128.616082479 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016129.116065284 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016129.616062748 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016130.116080609 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016130.616080515 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016131.116102245 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016131.616092290 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016132.116129207 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016132.616081514 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016133.116073706 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016133.616074023 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016134.116071048 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016134.616098829 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016135.116080611 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016135.616070987 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016136.116078848 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016136.616095185 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016137.116069060 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016137.616087479 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016138.116095418 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016138.616075486 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016139.116085598 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
